"EventDetailID","EventID","ViolationID","Resolved?","DateResolved","DetailAttach","IncludeCitation"
110,54,101,1,9/3/2015 0:00:00,,1
112,55,136,0,,"894 Stevendale Action Form.pdf;DSCF0177.JPG",1
113,55,131,0,,,1
115,56,136,1,4/22/2015 0:00:00,"DSCF0187.JPG",1
116,56,86,1,4/22/2015 0:00:00,,1
117,56,100,1,4/22/2015 0:00:00,,1
118,57,113,0,,"DSCF0186.JPG",0
119,58,136,1,4/22/2015 0:00:00,"DSCF0094.JPG;DSCF0182.JPG;DSCF0183.JPG",1
120,58,86,1,4/22/2015 0:00:00,,1
121,58,100,0,,,1
122,58,101,1,4/22/2015 0:00:00,,1
123,58,137,1,4/22/2015 0:00:00,,1
124,58,98,0,,,1
125,59,113,1,4/27/2015 0:00:00,"DSCF0184.JPG;DSCF0185.JPG",0
126,64,113,1,4/13/2015 0:00:00,"715 McMasters Action Form.pdf",0
127,65,113,0,,"DSCF0161.JPG;DSCF0181.JPG",0
128,66,113,0,,"103 Lucinda Action Form.pdf;DSCF0136.JPG;DSCF0137.JPG",0
129,67,139,1,4/17/2015 0:00:00,"DSCF0191.JPG",0
130,67,130,1,4/17/2015 0:00:00,,0
131,68,138,0,,"122 Fenwick Actrion Form.pdf;DSCF0188.JPG;DSCF0189.JPG;DSCF0190.JPG",1
132,68,63,0,,,1
133,68,64,0,,,1
134,70,138,0,,,1
135,70,65,0,,,1
136,71,138,0,,"DSCF0212.JPG;DSCF0213.JPG;DSCF0214.JPG;DSCF0215.JPG",1
137,71,61,0,,,1
138,71,69,0,,,1
139,71,70,0,,,1
140,72,138,1,6/2/2015 0:00:00,,1
141,72,61,1,6/2/2015 0:00:00,,1
142,72,69,1,6/2/2015 0:00:00,,1
143,72,140,1,6/2/2015 0:00:00,,1
144,73,138,1,4/17/2015 0:00:00,"DSCF0220.JPG;DSCF0221.JPG",1
145,73,69,1,4/17/2015 0:00:00,,1
147,73,139,1,4/17/2015 0:00:00,,1
148,74,138,1,5/1/2015 0:00:00,"DSCF0222.JPG",1
149,74,64,1,5/1/2015 0:00:00,,1
150,75,138,1,4/21/2015 0:00:00,"DSCF0218.JPG;DSCF0219.JPG;DSCF0250.JPG",1
151,75,61,1,4/21/2015 0:00:00,,1
152,75,69,1,4/21/2015 0:00:00,,1
153,75,70,1,4/24/2015 0:00:00,,1
154,75,68,1,4/21/2015 0:00:00,,1
155,76,130,1,4/15/2015 0:00:00,"DSCF0205.JPG;DSCF0206.JPG;DSCF0207.JPG;DSCF0208.JPG;DSCF0209.JPG;DSCF0210.JPG;DSCF0211.JPG",0
156,77,136,1,4/23/2015 0:00:00,,1
157,77,92,1,4/23/2015 0:00:00,,1
158,78,136,0,,"DSCF0223.JPG;DSCF0224.JPG;DSCF0225.JPG;DSCF0226.JPG;DSCF0227.JPG;DSCF0228.JPG;DSCF0229.JPG;DSCF0230.JPG;DSCF0231.JPG;DSCF0232.JPG;DSCF0233.JPG;DSCF0234.JPG;DSCF0235.JPG;DSCF0236.JPG;Ele Brothers 0 Rodi.pdf;Eles Brothers Action Form.pdf",1
159,79,136,0,,"DSCF0237.JPG;DSCF0238.JPG;DSCF0239.JPG;DSCF0240.JPG;DSCF0241.JPG;DSCF0242.JPG;DSCF0243.JPG;DSCF0244.JPG;DSCF0245.JPG;DSCF0246.JPG;DSCF0247.JPG;DSCF0248.JPG;Eles Brotehrs 1235 Rodi.pdf;Eles Brothers 1235 Rodi.pdf;Eles Brothers Action Form.pdf",0
160,78,86,0,,,1
161,78,100,0,,,1
162,78,101,0,,,1
163,78,91,0,,,1
164,79,86,0,,,0
165,79,100,0,,,0
166,79,101,0,,,0
167,79,91,0,,,0
168,80,138,1,4/24/2015 0:00:00,"DSCF0252.JPG;DSCF0253.JPG",1
169,80,69,1,4/24/2015 0:00:00,,1
170,80,70,1,4/24/2015 0:00:00,,1
171,81,113,1,4/22/2015 0:00:00,"DSCF0269.JPG",0
173,82,136,0,,"DSCF0263.JPG;DSCF0264.JPG;DSCF0265.JPG;DSCF0266.JPG;DSCF0267.JPG",1
175,82,86,0,,,1
176,82,100,0,,,1
177,82,88,0,,,1
178,83,113,1,4/27/2015 0:00:00,"DSCF0271.JPG;DSCF0272.JPG;DSCF0273.JPG;DSCF0274.JPG;DSCF0275.JPG",0
179,85,136,0,,,1
180,85,85,0,,,1
181,85,86,0,,,1
182,85,100,0,,,1
183,86,136,0,,"4050 Miller Return to Sender.pdf",1
184,86,86,0,,,1
185,86,100,0,,,1
186,87,136,0,,,1
187,87,91,0,,,1
188,88,113,0,,"647 Highland Action Form.pdf;DSCF0257.JPG",0
189,89,136,0,,"491 Brown A-1 Auto Action Form.pdf;DSCF0290.JPG;DSCF0291.JPG;DSCF0292.JPG;DSCF0293.JPG;DSCF0294.JPG",1
190,89,91,0,,,1
191,90,130,1,4/27/2015 0:00:00,"DSCF0022.JPG;DSCF0023.JPG",0
192,91,138,0,,,1
193,91,63,0,,,1
194,91,64,0,,,1
195,92,136,0,,"3764 OWP Action Form.pdf;3764 OWP Rental Registration.pdf;DSCF0309.JPG;DSCF0310.JPG;DSCF0311.JPG;DSCF0312.JPG;DSCF0313.JPG;DSCF0314.JPG;DSCF0315.JPG;DSCF0316.JPG",1
196,92,100,0,,,1
197,92,101,0,,,1
198,92,86,0,,,1
199,94,136,0,,"707 McMasters Action Form.pdf;DSCF0308.JPG",1
200,94,141,0,,,1
201,95,136,1,9/3/2015 0:00:00,"DSCF0306.JPG;DSCF0307.JPG",1
202,95,86,1,9/3/2015 0:00:00,,1
203,95,100,1,9/3/2015 0:00:00,,1
204,95,101,1,9/3/2015 0:00:00,,1
206,96,138,1,,,1
207,96,139,1,,,1
208,96,61,1,,,1
209,97,138,0,,,1
210,97,139,0,,,1
211,97,69,0,,,1
212,98,138,1,5/8/2015 0:00:00,,1
213,98,132,1,5/8/2015 0:00:00,,1
214,102,139,1,5/8/2015 0:00:00,"DSCF0364.JPG;DSCF0365.JPG;DSCF0366.JPG;DSCF0367.JPG",1
215,102,138,1,5/8/2015 0:00:00,,0
216,103,138,0,,,1
217,103,69,0,,,0
218,104,136,1,8/3/2015 0:00:00,"621 Beaver Action Form.pdf;DSCF0377.JPG;DSCF0378.JPG;DSCF0379.JPG",1
219,104,100,1,8/3/2015 0:00:00,,1
220,105,136,1,5/11/2015 0:00:00,"DSCF0372.JPG;DSCF0373.JPG;DSCF0374.JPG;DSCF0375.JPG;DSCF0376.JPG",1
221,105,91,1,5/11/2015 0:00:00,,1
222,106,136,1,5/11/2015 0:00:00,"DSCF0380.JPG;DSCF0381.JPG",1
223,106,88,1,5/11/2015 0:00:00,,1
224,107,136,1,5/11/2015 0:00:00,,0
225,107,88,1,5/11/2015 0:00:00,,0
226,109,136,0,,"162 Churchill Action Form.pdf;162 Churchill DOT Abstract.pdf;162 Churchill Twp Photos.pdf;DSCF0395.JPG;DSCF0396.JPG;DSCF0397.JPG;DSCF0398.JPG;DSCF0399.JPG",1
227,109,91,0,,,1
228,108,136,1,5/14/2015 0:00:00,"DSCF0390.JPG;DSCF0391.JPG;DSCF0392.JPG",1
229,108,88,1,5/14/2015 0:00:00,,1
230,110,136,1,5/20/2015 0:00:00,,1
231,110,91,1,5/20/2015 0:00:00,,1
232,111,136,0,,"200 Dorothy Return to Sender.pdf;DSCF0260.JPG;DSCF0261.JPG;DSCF0262.JPG;DSCF0393.JPG;DSCF0414.JPG",1
233,111,91,0,,,1
234,112,136,1,5/14/2015 0:00:00,,1
235,112,100,1,5/14/2015 0:00:00,,1
236,113,138,1,5/15/2015 0:00:00,,1
237,113,63,1,5/15/2015 0:00:00,,1
238,114,138,0,,"122 KINGS DALE Contact.pdf;122 Kingsdale Return to Sender.pdf;DSCF0418.JPG",1
239,114,63,0,,,1
240,114,69,0,,,1
241,115,138,1,5/19/2015 0:00:00,,1
242,115,65,1,5/19/2015 0:00:00,,1
243,117,136,0,,"DSCF0420.JPG;DSCF0421.JPG;DSCF0422.JPG",1
244,117,88,0,,,1
245,118,136,1,5/14/2015 0:00:00,"564 Lucia Action Form.pdf;DSCF0423.JPG;DSCF0424.JPG",1
246,118,92,1,5/14/2015 0:00:00,,1
247,118,88,1,5/14/2015 0:00:00,,1
248,119,136,1,5/14/2015 0:00:00,"DSCF0435.JPG",1
249,119,88,1,5/14/2015 0:00:00,,1
250,120,136,1,5/18/2015 0:00:00,"DSCF0429.JPG",1
251,120,88,1,5/18/2015 0:00:00,,1
252,121,136,1,5/18/2015 0:00:00,"DSCF0436.JPG",1
253,121,88,1,5/18/2015 0:00:00,,0
254,122,136,1,5/14/2015 0:00:00,"DSCF0443.JPG;DSCF0444.JPG",1
255,122,88,1,5/14/2015 0:00:00,,1
256,123,136,1,5/14/2015 0:00:00,"DSCF0454.JPG;DSCF0455.JPG;DSCF0456.JPG",1
257,123,88,1,5/14/2015 0:00:00,,1
258,124,136,1,6/8/2015 0:00:00,"DSCF0382.JPG;DSCF0453.JPG",1
259,124,88,1,6/8/2015 0:00:00,,1
260,125,136,1,6/1/2015 0:00:00,"DSCF0434.JPG",1
261,125,88,1,6/1/2015 0:00:00,,1
262,126,136,1,5/14/2015 0:00:00,"DSCF0430.JPG;DSCF0431.JPG",1
263,126,88,1,5/14/2015 0:00:00,,1
264,127,136,1,5/18/2015 0:00:00,"550 Lucia Return to Sender.pdf;DSCF0427.JPG",1
265,127,88,1,5/18/2015 0:00:00,,1
266,128,136,1,5/18/2015 0:00:00,"DSCF0428.JPG",1
267,128,88,1,5/18/2015 0:00:00,,1
268,129,136,1,5/14/2015 0:00:00,"DSCF0445.JPG;DSCF0446.JPG;DSCF0447.JPG;DSCF0448.JPG;DSCF0449.JPG;DSCF0450.JPG;DSCF0451.JPG",0
269,129,88,1,5/14/2015 0:00:00,,0
270,130,136,1,5/14/2015 0:00:00,"DSCF0432.JPG",1
271,130,88,1,5/14/2015 0:00:00,,1
272,131,136,0,,"DSCF0425.JPG;DSCF0426.JPG;DSCF0437.JPG",1
273,131,88,1,5/18/2015 0:00:00,,1
274,131,134,0,,,1
275,132,136,1,10/7/2015 0:00:00,"DSCF0439.JPG;DSCF0452.JPG",1
276,132,88,1,10/7/2015 0:00:00,,1
277,133,136,1,5/14/2015 0:00:00,,1
278,133,88,1,5/14/2015 0:00:00,,1
279,134,138,1,5/15/2015 0:00:00,"10 Garden Ter Action Form.pdf;DSCF0479.JPG;DSCF0480.JPG;DSCF0481.JPG",1
280,134,63,1,5/15/2015 0:00:00,,1
281,134,69,1,5/15/2015 0:00:00,,1
282,134,139,1,5/15/2015 0:00:00,,1
283,135,138,1,5/13/2015 0:00:00,"DSCF0482.JPG;DSCF0483.JPG;DSCF0484.JPG;DSCF0485.JPG;DSCF0486.JPG;DSCF0487.JPG",1
284,135,139,1,5/13/2015 0:00:00,,1
285,136,138,1,5/13/2015 0:00:00,,1
286,136,63,1,5/13/2015 0:00:00,,1
287,137,138,1,5/19/2015 0:00:00,"DSCF0469.JPG;DSCF0470.JPG;DSCF0471.JPG;DSCF0472.JPG;DSCF0474.JPG",1
288,137,63,1,5/19/2015 0:00:00,,1
289,138,138,1,5/15/2015 0:00:00,"DSCF0475.JPG;DSCF0476.JPG;DSCF0477.JPG;DSCF0478.JPG",1
290,138,63,1,5/15/2015 0:00:00,,1
291,139,130,1,5/15/2015 0:00:00,,0
292,139,139,1,5/15/2015 0:00:00,,0
293,140,130,1,5/12/2015 0:00:00,,1
